City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Saint-Leu,RE,-21.15,55.2833,70.66,74,13,2.53,few clouds
109,Aklavik,CA,68.2191,-135.0107,52.83,56,95,11.97,overcast clouds
110,Mayo,US,38.8876,-76.5119,82.94,71,0,6.98,clear sky
111,Sitka,US,57.0531,-135.33,59.52,65,60,7.23,broken clouds
112,Linqiong,CN,30.4159,103.4609,71.73,91,100,1.97,overcast clouds
113,Ahipara,NZ,-35.1667,173.1667,61.14,89,100,14.58,light rain
114,Paka,MY,4.6374,103.4368,76.73,88,100,2.35,overcast clouds
115,Shelburne,CA,44.0787,-80.2041,72.75,76,65,7.58,broken clouds
116,Kisangani,CD,0.5167,25.2,69.93,99,85,1.01,overcast clouds
117,Tigre,AR,-34.426,-58.5796,68.27,79,0,4.61,moderate rain
118,Savannah Bight,HN,16.45,-85.85,83.59,76,27,18.07,scattered clouds
119,Santa Cruz,BO,-17.8,-63.1667,85.64,46,58,15.7,broken clouds
120,Kempsey,AU,-31.0833,152.8333,70.95,46,100,1.99,overcast clouds
121,Tuktoyaktuk,CA,69.4541,-133.0374,45.84,73,93,7.7,overcast clouds
122,Oistins,BB,13.0667,-59.5333,83.07,76,28,14.18,scattered clouds
123,Jamestown,US,42.097,-79.2353,73.94,58,100,5.75,overcast clouds
124,Port Hawkesbury,CA,45.6169,-61.3485,52.59,71,87,1.99,overcast clouds
125,Richards Bay,ZA,-28.783,32.0377,65.44,94,17,5.26,few clouds
126,Keuruu,FI,62.2667,24.7,47.8,97,12,4.41,few clouds
127,Cidreira,BR,-30.1811,-50.2056,62.76,77,59,23.42,broken clouds
128,Chaozhou,CN,23.6651,116.6379,79.68,68,78,4.18,broken clouds
129,San Cristobal,VE,7.7669,-72.225,80.78,93,18,3.31,few clouds
130,Bonavista,CA,48.6499,-53.1147,51.19,61,17,25.26,few clouds
131,Moose Factory,CA,51.2585,-80.6094,56.77,45,98,6.67,overcast clouds
132,Nikolskoye,RU,59.7035,30.7861,48.09,90,100,3.78,overcast clouds
133,Kismayo,SO,-0.3582,42.5454,76.08,87,67,14.67,broken clouds
134,Sisophon,KH,13.5859,102.9737,75.38,92,100,7.87,overcast clouds
135,Pampa,US,35.5362,-100.9599,94.57,26,0,17.27,clear sky
136,Elko,US,41.0002,-115.5012,77.05,16,27,23.0,scattered clouds
137,Nanortalik,GL,60.1432,-45.2371,45.39,80,92,6.62,overcast clouds
138,Saint George,US,37.1041,-113.5841,92.25,16,0,13.8,clear sky
139,Wajir,KE,1.7471,40.0573,76.17,66,54,16.82,broken clouds
140,Pandan,PH,14.0453,124.1694,82.65,76,99,9.1,overcast clouds
141,Cedar City,US,37.6775,-113.0619,75.4,21,0,17.52,clear sky
142,Batemans Bay,AU,-35.7167,150.1833,59.09,37,18,9.08,few clouds
143,Santarem,BR,-2.4431,-54.7083,86.95,43,68,6.46,broken clouds
144,Cabra,ES,37.4725,-4.4421,72.59,75,99,4.52,overcast clouds
145,Vila Velha,BR,-20.3297,-40.2925,67.95,76,37,1.99,scattered clouds
146,Coquimbo,CL,-29.9533,-71.3436,55.45,72,4,11.34,clear sky
147,Norman Wells,CA,65.282,-126.8329,55.54,48,100,11.95,overcast clouds
148,Jalu,LY,29.0331,21.5482,82.98,23,0,7.25,clear sky
149,Guerrero Negro,MX,27.9769,-114.0611,73.45,64,0,16.82,clear sky
150,Sistranda,NO,63.7256,8.834,49.96,74,98,19.8,light rain
151,Lipari,IT,38.4674,14.954,70.32,49,2,3.09,clear sky
152,Flin Flon,CA,54.7682,-101.865,68.77,44,72,6.96,broken clouds
153,Tshikapa,CD,-6.4167,20.8,71.6,84,53,0.83,light rain
154,Alenquer,BR,-1.9417,-54.7383,85.82,46,84,4.12,broken clouds
155,Bethel,US,41.3712,-73.414,78.49,71,75,3.0,broken clouds
156,Longavi,CL,-35.9667,-71.6833,46.33,66,33,6.78,scattered clouds
157,Nalut,LY,30.3333,10.85,86.04,14,2,7.02,clear sky
158,San Patricio,US,28.017,-97.5169,91.35,60,63,14.0,broken clouds
159,Vao,NC,-22.6667,167.4833,73.38,73,100,11.88,overcast clouds
160,Balaipungut,ID,1.05,101.2833,73.9,89,100,1.12,overcast clouds
161,Pevek,RU,69.7008,170.3133,32.65,97,100,17.65,light snow
162,Barrow,US,71.2906,-156.7887,42.51,79,100,14.12,overcast clouds
163,Llanes,ES,43.4198,-4.7549,64.99,66,100,6.35,overcast clouds
164,Mangai,CD,-4.05,19.5333,66.74,94,96,1.59,overcast clouds
165,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,83.48,62,100,1.9,overcast clouds
166,Bindi,SL,9.9167,-11.45,69.96,98,100,3.76,overcast clouds
167,Itarema,BR,-2.9248,-39.9167,78.1,83,50,15.08,scattered clouds
