City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
105,Port Said,EG,78.33,clear sky,31.2565,32.2841,Aracan Hotel
107,Goderich,CA,76.91,broken clouds,43.7501,-81.7165,Harmony Inn
110,Mayo,US,82.94,clear sky,38.8876,-76.5119,Resorts Resource Group International
114,Paka,MY,76.73,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
118,Savannah Bight,HN,83.59,scattered clouds,16.45,-85.85,Villa on Dunbar Rock
119,Santa Cruz,BO,85.64,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
122,Oistins,BB,83.07,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
128,Chaozhou,CN,79.68,broken clouds,23.6651,116.6379,Seven Corner View Homestay
129,San Cristobal,VE,80.78,few clouds,7.7669,-72.225,Pirineos
133,Kismayo,SO,76.08,broken clouds,-0.3582,42.5454,Agan-Hotel
134,Sisophon,KH,75.38,overcast clouds,13.5859,102.9737,Pyramid Hotel
136,Elko,US,77.05,scattered clouds,41.0002,-115.5012,
139,Wajir,KE,76.17,broken clouds,1.7471,40.0573,Mahatallah Hotel
140,Pandan,PH,82.65,overcast clouds,14.0453,124.1694,Bonifacio Lodge
141,Cedar City,US,75.4,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
143,Santarem,BR,86.95,broken clouds,-2.4431,-54.7083,Hotel Imperador
148,Jalu,LY,82.98,clear sky,29.0331,21.5482,صاحبة الفخامة
154,Alenquer,BR,85.82,broken clouds,-1.9417,-54.7383,Detinha Hotel
155,Bethel,US,78.49,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
157,Nalut,LY,86.04,clear sky,30.3333,10.85,
165,Sao Paulo De Olivenca,BR,83.48,overcast clouds,-3.3783,-68.8725,
167,Itarema,BR,78.1,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
169,Harper,LR,76.01,few clouds,4.375,-7.7169,Screensaver
171,Baillif,GP,81.9,overcast clouds,16.0202,-61.7463,Hôtel Saint-Georges
179,Oussouye,SN,76.86,overcast clouds,12.485,-16.5469,Auberge du Routard
182,Katobu,ID,76.55,overcast clouds,-4.9408,122.5276,La Ode Husein
184,Mitsamiouli,KM,75.31,clear sky,-11.3847,43.2844,Foyer ADM
187,Natal,BR,77.11,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
189,Victoria,HK,82.33,broken clouds,22.2855,114.1577,Mini Central
194,Karachi,PK,78.62,smoke,24.9056,67.0822,Sadaat
199,Praia,CV,78.57,scattered clouds,14.9215,-23.5087,LT Aparthotel
202,Pajapan,MX,77.16,broken clouds,18.25,-94.7,Hotel Del Carmen
206,Kijang,KR,75.74,moderate rain,35.2442,129.2139,Samyang Beach Villa
212,Ajdabiya,LY,77.76,clear sky,30.7554,20.2263,منزلة الحاج سالم خليفة العيساويه الزواوي
213,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
