City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Saint Anthony,US,2022-09-15 04:47:33,45.0205,-93.218,68.83,76,75,13.8
120,Guerrero Negro,MX,2022-09-15 04:45:02,27.9769,-114.0611,71.62,84,0,17.58
121,Warrnambool,AU,2022-09-15 04:54:48,-38.3833,142.4833,61.68,60,7,8.72
122,Saskylakh,RU,2022-09-15 04:46:15,71.9167,114.0833,35.98,94,100,10.49
123,Biak,ID,2022-09-15 04:54:48,-0.9131,122.8766,81.55,69,79,7.2
124,Goderich,CA,2022-09-15 04:45:34,43.7501,-81.7165,53.91,87,25,6.91
125,Quatre Cocos,MU,2022-09-15 04:54:49,-20.2078,57.7625,74.08,67,45,15.66
126,Abu Samrah,SY,2022-09-15 04:54:49,35.3029,37.1841,70.56,62,0,6.98
127,Taltal,CL,2022-09-15 04:50:20,-25.4,-70.4833,57.09,68,4,1.81
128,Lasa,IT,2022-09-15 04:54:50,46.6166,10.7002,63.48,93,83,2.15
129,Victoria,HK,2022-09-15 04:45:49,22.2855,114.1577,95.04,44,12,8.01
130,Tarakan,ID,2022-09-15 04:54:51,3.3,117.6333,85.5,74,40,3.44
131,East London,ZA,2022-09-15 04:45:10,-33.0153,27.9116,58.14,88,0,1.14
132,Hithadhoo,MV,2022-09-15 04:54:51,-0.6,73.0833,81.54,69,69,4.94
133,Narsaq,GL,2022-09-15 04:54:52,60.9167,-46.05,47.64,63,24,5.23
134,Coquimbo,CL,2022-09-15 04:51:20,-29.9533,-71.3436,53.33,82,0,3.44
135,Westport,US,2022-09-15 04:54:52,41.1415,-73.3579,72.75,83,0,5.01
136,Cabo San Lucas,MX,2022-09-15 04:45:55,22.8909,-109.9124,82.62,83,6,6.85
137,Umm Lajj,SA,2022-09-15 04:55:53,25.0213,37.2685,84.97,48,7,12.28
138,Timbiqui,CO,2022-09-15 04:55:53,2.7717,-77.6654,73.42,93,100,3.2
139,Shimanovsk,RU,2022-09-15 04:55:54,52.0,127.7,54.84,52,100,8.05
140,Socorro,US,2022-09-15 04:55:54,31.6546,-106.3033,79.07,51,0,6.91
141,Kuopio,FI,2022-09-15 04:55:54,62.8924,27.677,49.95,93,100,9.22
142,Teguise,ES,2022-09-15 04:55:55,29.0605,-13.564,68.22,78,0,4.61
143,Sarakhs,IR,2022-09-15 04:55:55,36.5449,61.1577,86.0,10,0,0.94
